brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price,curved,g_sync_compat,sync
Planar,PX2411MW,23.6,1920 x 1080,,2.0,,16:9,,False,False,
Planar,PL2010MW,20.0,1600 x 900,,5.0,,16:9,,False,False,
NEC,EA232WMi,23.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
Planar,SA2311W,23.0,1920 x 1080,120.0,2.0,,16:9,,False,False,
NEC,EX231W-BK,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Planar,PJ19W,18.5,1366 x 768,,5.0,,16:9,,False,False,
NEC,EA192M-BK,19.0,1280 x 1024,,5.0,,5:4,229.0,False,False,
Planar,PX2211MW,21.6,1920 x 1080,,5.0,,16:9,,False,False,
NEC,EA241WM-BK,24.0,1920 x 1200,,5.0,,16:10,,False,False,
NEC,AS171-BK,17.0,1280 x 1024,,5.0,,5:4,299.58,False,False,
NEC,AS191WM-BK,19.0,1440 x 900,,5.0,,16:10,,False,False,
NEC,E222W-BK,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Planar,997-5260-00-BN,19.0,1440 x 900,,5.0,,16:10,,False,False,
Samsung,TC240,23.6,1920 x 1080,,5.0,,16:9,,False,False,
Planar,PL1920M,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,SA2311W,23.0,1920 x 1080,120.0,2.0,,16:9,,False,False,
Planar,PL1911MW,19.0,1440 x 900,,5.0,,16:10,,False,False,
Acer,B243H AJbdr,24.0,1920 x 1080,,2.0,,16:9,,False,False,
Samsung,B2430H,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Hannspree,HH193DPB,19.0,1280 x 1024,,5.0,,5:4,,False,False,
NEC,E201W-BK,20.0,1600 x 900,,,,16:9,,False,False,
Acer,B273Hbmidhz,27.0,1920 x 1080,,5.0,,16:9,,False,False,
Acer,B223WGJbmdr,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Hannspree,HL193ABB,18.5,1366 x 768,,5.0,,16:9,,False,False,
NEC,AS231WM-BK,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,P1980ER,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PL1700M-BK(997-2796-00),17.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PL1910W,18.5,1366 x 768,,5.0,,16:9,,False,False,
ViewSonic,VA1906a-LED,19.0,1366 x 768,,5.0,,16:9,,False,False,
NEC,PA231W-BK,23.0,1920 x 1080,,8.0,,16:9,,False,False,
Samsung,S27A750D,27.0,1920 x 1080,,2.0,,16:9,,False,False,
Acer,V203HCJbd,20.0,1600 x 900,,5.0,,16:9,,False,False,
NEC,AS221WM-BK,22.0,1680 x 1050,,5.0,,16:10,499.0,False,False,
ViewSonic,VA1931wm,19.0,1366 x 768,,5.0,,16:9,,False,False,
LG,W1943SS-PF,18.5,1366 x 768,,5.0,,16:9,,False,False,
HP,LA2006x,20.0,1600 x 900,,5.0,,16:9,,False,False,
Planar,PL1900,19.0,1280 x 1024,,5.0,,5:4,,False,False,
HP,LE1901wi,19.0,1440 x 900,,5.0,TN,16:10,,False,False,
Dell,E2011H,20.0,1600 x 900,,5.0,,16:9,241.29,False,False,
Acer,H274HLbmd,27.0,1920 x 1080,,5.0,TN,16:9,,False,False,
Dell,P2011H,20.0,1600 x 900,,5.0,TN,16:9,,False,False,
Hannspree,HK241DPB,23.6,1920 x 1080,,5.0,,16:9,,False,False,
LG,N1941W-KIT,19.0,1366 x 768,,5.0,,16:9,,False,False,
Hannspree,HF-237HPB,23.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewEra,V196BN,19.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,VG2732m-LED,27.0,1920 x 1080,,3.0,,16:9,,False,False,
Planar,PL2210W,22.0,1920 x 1080,,5.0,,16:9,,False,False,
Planar,997-6502-00,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Planar,PL1702,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Samsung,NC190-1,19.0,1280 x 1024,,5.0,,5:4,,False,False,
LG,E2210P-BN,22.0,1680 x 1050,,5.0,,16:10,,False,False,
ViewEra,V172BN-B,17.0,1280 x 1024,,8.0,,5:4,,False,False,
ViewEra,V172SV-B,17.0,1280 x 1024,,8.0,,5:4,,False,False,
ViewEra,V191BN-B,19.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewEra,V191HV-B,19.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,CD3225,32.0,1920 x 1080,,8.0,,16:9,,False,False,
NEC,V321-2,32.0,1366 x 768,,8.0,,16:9,,False,False,
Acer,V193DJbd,19.0,1280 x 1024,,5.0,,5:4,,False,False,
iZ3D,H220Z1,22.0,1680 x 1050,,5.0,,16:10,,False,False,
DoubleSight,DS-220C,21.5,1920 x 1080,,5.0,TN,16:9,,False,False,
DoubleSight,DS- 2200WA,21.5,1920 x 1080,,5.0,TN,16:9,,False,False,
DoubleSight,DS-275W,27.0,2560 x 1440,,6.0,,16:9,,False,False,
DoubleSight,DS-277W,27.0,2560 x 1440,,6.0,IPS,16:9,,False,False,
DoubleSight,DS-1900SA,19.0,1280 x 1024,,5.0,,5:4,,False,False,
HP,ZR2040w,20.0,1600 x 900,,7.0,IPS,16:9,,False,False,
Planar,PL1900,19.0,1280 x 1024,,5.0,,5:4,,False,False,
DoubleSight,DS-307W,30.0,2560 x 1600,,7.0,IPS,16:10,,False,False,
HP,LP2480zx,24.0,1920 x 1200,,12.0,IPS,16:10,,False,False,
Compaq,LA2306x,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Compaq,LE1911,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Dell,ST2321L,23.0,1920 x 1080,,5.0,,16:9,,False,False,
HP,2511x (XP599AA#ABA),25.0,1920 x 1080,,5.0,TN,16:9,,False,False,
ViewEra,V185MV,18.5,1366 x 768,,5.0,,16:9,,False,False,
Samsung,BX2050,20.0,1600 x 900,,5.0,,16:9,,False,False,
Hannspree,HL196DBB,19.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,V3D231,23.0,1920 x 1080,,2.0,,16:9,,False,False,
Acer,V203HL BJbmd,20.0,1600 x 900,60.0,5.0,TN,16:9,,False,False,
AOC,e2051Sn,20.0,1600 x 900,60.0,5.0,,16:9,,False,False,
AOC,e2352Phz,23.0,1920 x 1080,60.0,5.0,,16:9,,False,False,
AOC,2236Vwa,22.0,1920 x 1080,60.0,5.0,,16:9,,False,False,
Acer,HR274Hbmii,27.0,1920 x 1080,60.0,2.0,TN,16:9,,False,False,
Acer,V213HLBJbmd,21.5,1920 x 1080,60.0,5.0,TN,16:9,316.58,False,False,
Dell,U3011,30.0,2560 x 1600,60.0,7.0,IPS,16:10,,False,False,
BenQ,GW2450HM,24.0,1920 x 1080,,4.0,,16:9,,False,False,
Samsung,S24A450BW-1,24.0,1920 x 1200,,5.0,,16:10,,False,False,
Samsung,C24B750X,24.0,1920 x 1080,,5.0,TN,16:9,,False,False,
Samsung,T27B750ND,27.0,1920 x 1080,,5.0,TN,16:9,,False,False,
Samsung,S22A460B-1,21.5,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,EX2020X,20.0,1600 x 900,,5.0,,16:9,,False,False,
Samsung,S24A460B-1,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,S19A450BR,19.0,1280 x 1024,,5.0,TN,5:4,,False,False,
Samsung,S19A450MW,19.0,1440 x 900,,5.0,TN,16:10,,False,False,
Samsung,S24A450MW,24.0,1920 x 1200,60.0,5.0,TN,16:10,,False,False,
Samsung,S22A650D,21.5,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,C24A650X,24.0,1920 x 1080,,8.0,,16:9,,False,False,
Samsung,S27B750V,27.0,1920 x 1080,,2.0,TN,16:9,,False,False,
Samsung,S22A200B,21.5,1920 x 1080,,5.0,TN,16:9,,False,False,
Samsung,S24B750V,24.0,1920 x 1080,,2.0,TN,16:9,,False,False,
Samsung,S27A650D,27.0,1920 x 1080,60.0,8.0,,16:9,,False,False,
Hannspree,HL203DPB,20.0,1600 x 900,,5.0,,16:9,,False,False,
Hannspree,HF235DPB,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Acer,V203HLBJObd,20.0,1600 x 900,60.0,5.0,TN,16:9,263.58,False,False,
Hannspree,SM238DPR,23.0,1920 x 1080,,5.0,,16:9,,False,False,
NEC,EA232WMI-BK,23.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
Hannspree,HF255DPB,24.6,1920 x 1080,,2.0,,16:9,,False,False,
ViewSonic,VA2342-LED,23.0,1920 x 1080,,5.0,,16:9,,False,False,
V7,460FP-3/SBB-DT3,18.5,1366 x 768,,5.0,,16:9,,False,False,
HP,A6B85AA#ABA,23.0,1920 x 1080,60.0,5.0,,16:9,,False,False,
LG,N1742L-KIT,17.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,VX2336S-LED,23.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
Acer,V243HL DJObmd,24.0,1920 x 1080,60.0,5.0,,16:9,420.2,False,False,
NEC,AS241W-BK,24.0,1920 x 1080,,5.0,TN,16:9,,False,False,
ViewSonic,VA1912A-LED,19.0,1366 x 768,,5.0,,16:9,,False,False,
Planar,PXL2451MW,23.6,1920 x 1080,60.0,5.0,,16:9,,False,False,
NEC,PA231W-BK-SV,23.0,1920 x 1080,,8.0,,16:9,738.99,False,False,
Hannspree,HL229DPB,21.5,1920 x 1080,,5.0,,16:9,,False,False,
LG,E2211PU-BN,22.0,1920 x 1080,,5.0,,16:9,,False,False,
LG,E2411PU-BN,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Dell,P1913s,19.0,1280 x 1024,60.0,5.0,,5:4,,False,False,
LG,N1910LZ-BF,19.0,1280 x 1024,,5.0,TN,5:4,,False,False,
LG,IPS234T-PN,23.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
HP,LE2002x,20.0,1600 x 900,60.0,5.0,,16:9,,False,False,
LG,IPS224T-PN,22.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
LG,EB2442T-BN,24.0,1920 x 1080,,5.0,,16:9,,False,False,
LG,EB2242T-BN,22.0,1920 x 1080,,5.0,,16:9,,False,False,
V7,LED236W3-8N,23.6,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2451M-TAA,24.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2251M-TAA,22.0,1920 x 1080,,5.0,,16:9,,False,False,
LG,D2342PB-PN,23.0,1920 x 1080,,5.0,,16:9,,False,False,
AOC,e2343Fi,23.0,1920 x 1080,60.0,5.0,,16:9,,False,False,
HP,LE2002xm,20.0,1600 x 900,60.0,5.0,,16:9,,False,False,
Asus,VK248H-CSM,24.0,1920 x 1080,,2.0,,16:9,,False,False,
