brand,model,socket,form_factor,mem_max,mem_slots,color,price
MSI,Z97-GAMING 5,LGA1150,ATX,32,4,Black / Red,
Gigabyte,Z390 M GAMING,LGA1151,Micro ATX,128,4,Black / Red,139.99
Gigabyte,Z490 AORUS XTREME WATERFORCE,LGA1200,EATX,128,4,Black,1299.99
MSI,A520M-A PRO,AM4,Micro ATX,64,2,Black,93.83
Asus,ROG STRIX B450-F GAMING II,AM4,ATX,128,4,Black,
Asus,PRIME B550M-A/CSM,AM4,Micro ATX,128,4,Black / White,115.99
Asus,H110M-K,LGA1151,Micro ATX,32,2,Black / Gold,125.98
MSI,MEG Z490 GODLIKE,LGA1200,EATX,128,4,Black / Silver,718.99
Asus,ROG Strix X299-E Gaming II,LGA2066,ATX,256,8,Black,449.99
ASRock,B550 Extreme4,AM4,ATX,128,4,Blue / Black,144.99
MSI,PRESTIGE X570 CREATION,AM4,EATX,128,4,Black / Silver,499.99
MSI,MAG B460M MORTAR,LGA1200,Micro ATX,128,4,Black / Silver,104.99
Asus,TUF GAMING B550-PLUS,AM4,ATX,128,4,Black,179.99
ASRock,Z490M-ITX/ac,LGA1200,Mini ITX,64,2,Black / Silver,155.99
ASRock,A520M-ITX/ac,AM4,Mini ITX,64,2,Black / Silver,104.99
ASRock,H410M-HDV,LGA1200,Micro ATX,64,2,Black / Silver,59.99
Gigabyte,Z490M GAMING X,LGA1200,Micro ATX,128,4,Black / Silver,144.99
Asus,PRIME B450M-K,AM4,Micro ATX,32,2,Black,103.99
ASRock,B365 Phantom Gaming 4,LGA1151,ATX,128,4,Black / Red,101.97
Gigabyte,Z390 AORUS PRO,LGA1151,ATX,128,4,Black / Silver,189.99
Gigabyte,Z490 AORUS MASTER,LGA1200,ATX,128,4,Black / Silver,329.00
ASRock,Z490 Phantom Gaming 4,LGA1200,ATX,128,4,Black / Gray,149.99
Asus,ROG STRIX Z490-F GAMING,LGA1200,ATX,128,4,Black,
Gigabyte,GA-AB350M-DS3H,AM4,Micro ATX,64,4,Black,99.00
Asus,TUF B450M-PRO GAMING,AM4,Micro ATX,64,4,Black,145.84
Gigabyte,X570 AORUS PRO,AM4,ATX,128,4,Black / Silver,269.00
Asus,TUF GAMING Z490-PLUS,LGA1200,ATX,128,4,Black,179.94
MSI,MAG Z390 TOMAHAWK,LGA1151,ATX,128,4,Black / Silver,232.95
NZXT,N7 Z490,LGA1200,ATX,128,4,White / Black,
Asus,PRIME B550M-K,AM4,Micro ATX,128,4,Black / White,109.99
MSI,H81M-P33 V2,LGA1150,Micro ATX,16,2,Black / Blue,73.94
Asus,PRIME Z490M-PLUS,LGA1200,Micro ATX,128,4,Black / White,148.72
Gigabyte,Z490 UD AC,LGA1200,ATX,128,4,Black / Silver,169.99
MSI,Z370-A PRO,LGA1151,ATX,64,4,Brown / Black,
MSI,B365M-PRO-VH,LGA1151,Micro ATX,32,2,Black,66.98
Gigabyte,Z490 AORUS PRO AX,LGA1200,ATX,128,4,Black / Silver,199.99
Asus,ROG STRIX X470-F Gaming,AM4,ATX,64,4,Black,
ASRock,B460M-ITX/ac,LGA1200,Mini ITX,64,2,Black / Silver,114.45
Asus,Prime H310I-PLUS R2.0/CSM,LGA1151,Mini ITX,32,2,Black,88.98
MSI,Creator TRX40,sTRX4,EATX,256,8,Black / Silver,679.99
MSI,H410M PRO,LGA1200,Micro ATX,64,2,Black / Silver,
MSI,MEG Z490 ACE,LGA1200,ATX,128,4,Black / Gold,309.99
MSI,MAG B460M BAZOOKA,LGA1200,Micro ATX,128,4,Black / Silver,
Asus,TUF GAMING B460-PRO,LGA1200,ATX,128,4,Black / Gold,156.68
Gigabyte,Z490I AORUS ULTRA,LGA1200,Mini ITX,64,2,Black / Silver,229.99
NZXT,N7-Z39XT-W1,LGA1151,ATX,64,4,White / Black,249.99
ASRock,H410M-ITX/ac,LGA1200,Mini ITX,64,2,Black,114.49
MSI,MPG Z390 GAMING PRO CARBON,LGA1151,ATX,128,4,Black / Silver,388.99
ASRock,A320M-DVS R4.0,AM4,Micro ATX,32,2,Black / Silver,69.29
Gigabyte,TRX40 AORUS PRO WIFI,sTRX4,ATX,256,8,Black / Orange,399.00
Asus,ROG STRIX B365-F GAMING,LGA1151,ATX,64,4,,323.99
MSI,X470 GAMING PLUS,AM4,ATX,64,4,Red / Black,224.95
Gigabyte,X399 AORUS PRO,sTR4,ATX,128,8,Black / Silver,274.99
ASRock,Z390 STEEL LEGEND,LGA1151,ATX,128,4,Silver / Black,165.26
Gigabyte,Z490 UD,LGA1200,ATX,128,4,Black / Silver,149.99
Gigabyte,B450 AORUS PRO,AM4,ATX,64,4,Black / Silver,162.83
Gigabyte,GA-H110-D3A,LGA1151,ATX,32,2,Black,110.94
Asus,STRIX Z270-E GAMING,LGA1151,ATX,64,4,Black / Silver,1006.49
ASRock,X570 Phantom Gaming X,AM4,ATX,128,4,Black / Silver,343.99
Asus,TUF Z390-PRO GAMING,LGA1151,ATX,128,4,Black / Gold,169.99
MSI,MAG B365M MORTAR,LGA1151,Micro ATX,64,4,Black,151.58
ASRock,B550 Taichi,AM4,ATX,128,4,Gold / Black,229.99
Gigabyte,GA-H270N-WIFI,LGA1151,Mini ITX,32,2,Black / Silver,129.94
Asus,Z10PE-D16 WS,2 x LGA2011-3,SSI EEB,1024,16,Black / Gold,429.99
Asus,ROG STRIX Z370-E GAMING,LGA1151,ATX,64,4,Black / Silver,
MSI,B350 TOMAHAWK,AM4,ATX,64,4,Black / Red,
MSI,X299 PRO,LGA2066,ATX,256,8,Black,249.99
Asus,STRIX X370-F GAMING,AM4,ATX,64,4,Black,199.94
ASRock,H470M-ITX/ac,LGA1200,Mini ITX,64,2,Black / Silver,154.94
Asus,Pro H410M-C/CSM,LGA1200,Micro ATX,64,2,Green,71.80
Asus,Prime TRX40-Pro,sTRX4,ATX,256,8,Black / White,396.99
NZXT,N7 Z490,LGA1200,ATX,128,4,Black,
Asus,PRIME Z270-A,LGA1151,ATX,64,4,Black / White,
ASRock,X570 PHANTOM GAMING 4 WIFI ax,AM4,ATX,128,4,Black,177.99
Gigabyte,B450M GAMING,AM4,Micro ATX,32,2,Red / Black,116.86
Asus,PRIME H410M-E,LGA1200,Micro ATX,64,2,Black,79.99
Asus,PRIME B460M-A,LGA1200,Micro ATX,128,4,Silver / Black,99.99
Gigabyte,B450M DS3H WIFI,AM4,Micro ATX,64,4,Brown / Black,
MSI,MAG A520M VECTOR WIFI,AM4,Micro ATX,64,2,Black,114.06
Asus,ROG STRIX Z390-I GAMING,LGA1151,Mini ITX,64,2,Black / Silver,399.99
Gigabyte,B450M H,AM4,Micro ATX,32,2,Black,
Gigabyte,B450 Gaming X,AM4,ATX,64,4,Black / Red,175.21
ASRock,Z390 Phantom Gaming SLI/ac,LGA1151,ATX,128,4,Black / Silver,184.99
Gigabyte,B365M DS3H WIFI,LGA1151,Micro ATX,64,4,Black,84.99
ASRock,X570 Steel Legend WiFi ax,AM4,ATX,128,4,Black / Silver,223.80
Gigabyte,B360N WIFI,LGA1151,Mini ITX,32,2,Black,129.94
Gigabyte,B460 HD3,LGA1200,ATX,128,4,Black / Silver,96.99
Asus,TUF GAMING H470-PRO,LGA1200,ATX,128,4,Black / Silver,149.99
Gigabyte,B460M AORUS PRO,LGA1200,Micro ATX,128,4,Black / Orange,100.98
ASRock,H310CM-ITX/ac,LGA1151,Mini ITX,32,2,Black / Silver,90.99
MSI,B450M MORTAR TITANIUM,AM4,Micro ATX,64,4,White,
ASRock,X570 Pro4,AM4,ATX,128,4,Black / Silver,173.99
ASRock,B550M/ac,AM4,Micro ATX,128,4,Black / White,114.99
ASRock,TRX40 Creator,sTRX4,ATX,256,8,Black / Silver,459.99
Gigabyte,H310M S2H,LGA1151,Micro ATX,32,2,Silver / Brown,150.56
Asus,ROG STRIX TRX40-XE GAMING,sTRX4,ATX,256,8,Black,522.99
Gigabyte,Z490 AORUS XTREME,LGA1200,EATX,128,4,Black / Silver,699.99
Gigabyte,Z490 GAMING X,LGA1200,ATX,128,4,Black / Silver,179.99
Gigabyte,B550 AORUS ELITE V2,AM4,ATX,128,4,Black,159.99
Asus,ROG STRIX B360-F GAMING,LGA1151,ATX,64,4,Black,242.00
Gigabyte,GA-AB350-GAMING 3,AM4,ATX,64,4,Black / Red,
Asus,B85M-G,LGA1150,Micro ATX,32,4,,
MSI,Z270 GAMING PRO CARBON,LGA1151,ATX,64,4,Black / Silver,
Asus,Z170 PRO GAMING,LGA1151,ATX,64,4,Black / Red,
Asus,ROG MAXIMUS XII APEX,LGA1200,ATX,64,2,Black,597.92
Gigabyte,B460 AORUS PRO AC,LGA1200,ATX,128,4,Black / Silver,149.99
Gigabyte,GA-H270M-D3H,LGA1151,Micro ATX,64,4,Black / Gold,104.95
ASRock,Z490 Pro4,LGA1200,ATX,128,4,Black / Silver,175.00
MSI,B450M GAMING PLUS,AM4,Micro ATX,32,2,Black / Red,
MSI,Z270-A PRO,LGA1151,ATX,64,4,Brown / Black,355.99
Asus,PRIME B550M-A,AM4,Micro ATX,128,4,Black / White,
Gigabyte,B550M S2H,AM4,Micro ATX,64,2,Black / Silver,
ASRock,Z77 Extreme4,LGA1155,ATX,32,4,Brown / Black,
Asus,Z97-A,LGA1150,ATX,32,4,Black / Gold,
Gigabyte,H410M H,LGA1200,Micro ATX,64,2,Black / Silver,
Asus,ROG RAMPAGE VI EXTREME OMEGA,LGA2066,EATX,128,8,Black,1099.00
Asus,M5A78L-M PLUS/USB3,AM3+,Micro ATX,32,4,Black / Blue,
Gigabyte,Z490 AORUS ELITE,LGA1200,ATX,128,4,Black / Silver,198.99
ASRock,X570 CREATOR,AM4,ATX,128,4,Black / Silver,489.99
ASRock,X399 Phantom Gaming 6,sTR4,ATX,128,8,Black / Silver,249.99
ASRock,Z490M Pro4,LGA1200,Micro ATX,128,4,Black / Silver,149.99
Asus,PRIME B250M-A,LGA1151,Micro ATX,64,4,Black / White,210.00
Gigabyte,TRX40 AORUS MASTER,sTRX4,EATX,256,8,Black / Silver,479.99
ASRock,760GM-HDV,AM3+/AM3,Micro ATX,32,2,Black / Blue,71.23
Intel,DH61WWB3,LGA1155,Micro ATX,8,2,Green / Blue,165.98
Asus,MAXIMUS VIII FORMULA,LGA1151,ATX,64,4,Black / Red,2368.54
Asus,PRIME A520M-K,AM4,Micro ATX,64,2,Black / Silver,65.99
ASRock,H410M-HVS,LGA1200,Micro ATX,64,2,Black / Silver,92.58
Asus,PRIME A320M-A,AM4,Micro ATX,64,4,Black / Gray,99.99
ASRock,B460 Steel Legend,LGA1200,ATX,128,4,Black / Silver,143.00
Asus,PRIME B350-PLUS,AM4,ATX,64,4,Black / Red,189.99
