brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
Intel,Core i7-9700,8,3,4.7,65,Intel HD Graphics 630,No,347.92
Intel,Celeron G4900,2,3.1,,65,Intel UHD Graphics 610,No,
Intel,Core i5-3450,4,3.1,,77,Intel HD Graphics 2500,No,183.85
AMD,Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,No,
Intel,Core i7-6700K,4,4,4.2,91,Intel HD Graphics 530,Yes,
Intel,Core i7-5960X,8,3,3.5,140,None,Yes,
Intel,Core i7-7800X,6,3.5,4,140,None,Yes,794.00
AMD,FX-8370,8,4,4.3,125,None,No,
AMD,5350,4,2.05,,25,Radeon HD 8400,No,104.94
Intel,Core i3-4150,2,3.5,,54,Intel HD Graphics 4400,Yes,
Intel,Core i7-9700F,8,3,4.7,65,None,No,308.02
Intel,Core i7-4930K,6,3.4,3.9,130,None,Yes,
Intel,Xeon E5-2690 V3,12,2.6,3.5,135,None,Yes,505.10
Intel,Core i5-650,2,3.2,,73,Intel HD Graphics,Yes,
Intel,Core i7-6900K,8,3.2,3.7,140,None,Yes,579.00
AMD,A8-7600,4,3.1,3.8,65,Radeon R7 (on-die),No,
Intel,Core i7-4820K,4,3.7,3.9,130,None,Yes,
Intel,Core i5-2320,4,3,,95,Intel HD Graphics 2000,No,249.95
Intel,Xeon E5-2620 V4,8,2.1,3,85,None,Yes,409.99
AMD,A10-6800K,4,4.1,,100,Radeon HD 8670D,No,
Intel,Core i5-6402P,4,2.8,3.4,65,Intel HD Graphics 510,No,
AMD,Ryzen 7 2700,8,3.2,4.1,65,None,Yes,
Intel,Core i7-950,4,3.06,,130,None,Yes,353.97
AMD,Ryzen 7 1700X,8,3.4,3.8,95,None,Yes,
Intel,Atom D2700,2,2.133,,10,None,Yes,100.00
AMD,FX-8320E,8,3.2,4,95,None,No,
Intel,Core i7-860,4,2.8,,95,None,Yes,
AMD,Phenom II X6 1090T Black,6,3.2,,125,None,No,498.90
Intel,Core i5-7640X,4,4,4.2,112,None,No,240.00
