brand,model,chipset,memory,core_clock,boost_clock,color,length,price
EVGA,XC3 BLACK GAMING,GeForce RTX 3080,10,1440,1710,Black,285.37,
PNY,XLR8 Gaming EPIC-X RGB,GeForce RTX 3090,24,1395,1695,Black,293.88,1609.94
EVGA,XC GAMING,GeForce RTX 2060,6,1365,1755,Black,189.89,
EVGA,SC ULTRA GAMING,GeForce GTX 1660,6,1530,1830,Silver / Black,202.1,290.21
Asus,STRIX,GeForce GTX 1070,8,1506,1721,Black,298,509.94
Gigabyte,AORUS XTREME,GeForce RTX 3080,10,1710,1905,Black / Silver,319,
Asus,STRIX GAMING Advanced,GeForce RTX 2060 SUPER,8,1500,1710,Black,301,
PowerColor,Red Dragon,Radeon RX 5600 XT,6,1247,1620,Black / Silver,240,
XFX,RX-570P8DFD6,Radeon RX 570,8,1168,1286,Black / Red,243,198.84
Gigabyte,AORUS MASTER,GeForce RTX 3090,24,1400,1785,Black,319,
Zotac,MINI,GeForce GTX 1070,8,1518,1708,Black / Silver,210,389.95
Asus,TUF OC,GeForce GTX 1660,6,1530,1845,Black / Gray,205,449.99
Sapphire,21304-01-20g,Radeon RX 6800 XT,16,1825,2250,Black / Silver,266.7,
MSI,VENTUS GP OC,GeForce RTX 2060 SUPER,8,1470,1665,Silver / Black,232,799.99
MSI,MECH OC,Radeon RX 5500 XT,4,1647,1845,Black,215,227.06
NVIDIA,Founders Edition,GeForce GTX 1060 6GB,6,1506,1709,Black / Silver,250,
XFX,GTS,Radeon RX 580,8,1405,1425,Black / Red,270,189.99
NVIDIA,Founders Edition,GeForce RTX 2060,6,1365,1680,Silver / Black,228.6,
PowerColor,AXRX 5700XT 8GBD6-3DH,Radeon RX 5700 XT,8,1605,1905,Black,230,
Asus,TUF GAMING OC,GeForce RTX 3090,24,1400,,Black,299.9,1616.99
PowerColor,Red Devil,Radeon RX 580,8,1257,1380,Black / Red,255,245.08
MSI,GAMING X,GeForce GTX 1060 6GB,6,1506,1809,Black / Red,277,475.27
Gigabyte,EAGLE OC,GeForce RTX 3080,10,1440,1755,Black,320,
MSI,GAMING X TRIO,GeForce RTX 2080 Ti,11,1350,1755,Black,327,1899.99
NVIDIA,Founders Edition,GeForce GTX 1080,8,1607,1733,Black / Silver,267,1106.43
Asus,STRIX GAMING Advanced,GeForce GTX 1650 SUPER,4,1530,1770,Black,243,240.94
Gigabyte,GAMING OC,Radeon RX 5500 XT,8,1685,1845,Black / Gray,281,507.05
Gigabyte,WINDFORCE OC,Radeon RX 5600 XT,6,1247,1620,Black / Silver,228,351.94
ASRock,Challenger D OC,Radeon RX 5700,8,1515,1725,Black / Yellow,281,
MSI,GTX 1050 TI 4GT LP,GeForce GTX 1050 Ti,4,1290,1392,Black / White,182,157.99
PNY,XLR8 Gaming Overclocked Edition,GeForce GTX 1660,6,1530,1830,Black,167.894,209.94
ASRock,Radeon RX 6800 16G,Radeon RX 6800,16,1700,2105,Black / Silver,267,
Zotac,GAMING,GeForce GTX 1660 Ti,6,1500,1770,Black,173.4,435.90
Asus,GT1030-2G-CSM,GeForce GT 1030,2,1266,1506,Black / Blue,173,79.99
Gigabyte,GAMING OC 3X,GeForce RTX 2070 SUPER,8,1605,1815,White,286.5,
Zotac,AMP,GeForce RTX 2060 SUPER,8,1470,1680,Black,268,1124.99
ASRock,Challenger D OC,Radeon RX 5700 XT,8,1650,1905,Black / Yellow,281,
ASRock,Challenger D OC,Radeon RX 5500 XT,8,1685,1845,Black / Yellow,241,287.20
