brand,model,form_factor,eff_rating,wattage,modular,color,price
EVGA,G5,ATX,80+ Gold,1000,Full,Black / Green,224.99
EVGA,B5,ATX,80+ Bronze,850,Full,Black,129.94
Fractal Design,Ion+,ATX,80+ Platinum,860,Full,Black,
Fractal Design,Ion+,ATX,80+ Platinum,660,Full,Black,114.99
Rosewill,HIVE,ATX,80+ Bronze,650,Semi,,99.99
SeaSonic,FOCUS,ATX,80+ Gold,750,Semi,Black,
Phanteks,AMP,ATX,80+ Gold,750,Full,Black,
Phanteks,AMP,ATX,80+ Gold,650,Full,Black,105.98
be quiet!,SystemPower9,ATX,80+ Bronze,700,No,Black,136.91
Apevia,Signature,ATX,80+ Bronze,1050,Semi,Black,69.98
SeaSonic,PRIME Ultra Titanium,ATX,80+ Titanium,850,Full,,649.00
be quiet!,PurePower11CM,ATX,80+ Gold,400,Semi,Black,134.94
Corsair,VS,ATX,80+,500,No,,
Corsair,RMx White,ATX,80+ Gold,850,Full,,269.99
Phanteks,AMP,ATX,80+ Gold,550,Full,Black,96.98
EVGA,100-N1-0550-L1,ATX,,550,No,,53.28
Rosewill,LEPTON 600,ATX,80+ Gold,600,Semi,Black,69.99
Rosewill,Capstone,ATX,80+ Gold,750,Semi,,89.99
be quiet!,StraightPower11,ATX,80+ Gold,850,Full,,257.29
Super Flower,LeadexIIIGold,ATX,80+ Gold,850,Full,Black,
EVGA,G2,ATX,80+ Gold,850,Full,,149.00
GAMDIAS,KRATOS M1 B,ATX,80+ Bronze,750,No,Black,74.98
Silverstone,SFX,SFX,80+ Gold,500,Full,,109.40
Silverstone,Essential,ATX,80+ Bronze,550,No,Black,55.99
SeaSonic,CORE GM,ATX,80+ Gold,500,Semi,Black,
SeaSonic,FOCUS PX,ATX,80+ Platinum,850,Full,Black,
EVGA,G5,ATX,80+ Gold,850,Full,Black / Green,169.14
EVGA,P2,ATX,80+ Platinum,1000,Full,,449.95
EVGA,210-GQ-0850-V1,ATX,80+ Gold,850,Semi,,149.94
Corsair,AXi,ATX,80+ Titanium,1500,Full,,
Corsair,HXi,ATX,80+ Platinum,750,Full,,198.99
Corsair,VS,ATX,80+,450,No,,
Corsair,RMx,ATX,80+ Gold,550,Full,,
Corsair,HXi,ATX,80+ Platinum,1200,Full,,
