brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Crucial,Ballistix RGB 16 GB,DDR4-3200,2 x 8GB,4.966,Black,10,16,79.45
Patriot,Viper Steel 16 GB,DDR4-3200,2 x 8GB,4.062,Silver / Black,10,16,64.99
G.Skill,Ripjaws V 64 GB,DDR4-3200,2 x 32GB,3.437,Black,10,16,219.99
Corsair,Vengeance LPX 32 GB,DDR4-2666,2 x 16GB,3.593,Black / Yellow,12.003,16,114.99
Crucial,Ballistix MAX 32 GB,DDR4-4400,2 x 16GB,12.498,Black,8.636,19,399.95
G.Skill,Aegis 16 GB,DDR4-2666,2 x 8GB,3.437,Red / Black,14.254,19,54.99
Kingston,HyperX Fury RGB 32 GB,DDR4-3200,2 x 16GB,4.562,Black,10,16,145.99
G.Skill,Value 8 GB,DDR4-2666,1 x 8GB,3.499,Black,14.254,19,27.99
Corsair,Vengeance LPX 32 GB,DDR4-3000,2 x 16GB,3.593,Black,10.667,16,114.99
Corsair,Vengeance LPX 64 GB,DDR4-4000,2 x 32GB,8.389,Black / Yellow,9,18,536.89
G.Skill,Flare X Series 16 GB,DDR4-3200,2 x 8GB,6.249,Black,8.75,14,99.99
Crucial,Ballistix 16 GB,DDR4-3600,2 x 8GB,4.687,Red,8.889,16,74.99
Corsair,Vengeance LPX 64 GB,DDR4-3200,2 x 32GB,3.469,Black / Yellow,10,16,221.99
G.Skill,Ripjaws Series 8 GB,DDR3-1600,2 x 4GB,5.749,Black / Red,11.25,9,45.99
Kingston,HyperX Fury 32 GB,DDR4-3200,2 x 16GB,8.125,Black,10,16,259.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3200,2 x 8GB,3.749,Red,10,16,59.99
Corsair,Vengeance LPX 16 GB,DDR4-2133,2 x 8GB,4.687,Black / Yellow,12.189,13,74.99
G.Skill,Trident Z Royal 32 GB,DDR4-4000,2 x 16GB,10.000,White,8,16,319.99
Corsair,DOMINATOR PLATINUM RGB 128 GB,DDR4-3800,8 x 16GB,12.172,Black,10,19,1557.99
Corsair,Vengeance LPX 16 GB,DDR4-3000,2 x 8GB,3.519,Gray,10,15,56.30
Team,T-Force Delta RGB 16 GB,DDR4-3000,2 x 8GB,4.374,Black,10.667,16,69.98
G.Skill,Trident Z 16 GB,DDR4-3200,2 x 8GB,4.624,Black / White,10,16,73.98
G.Skill,Trident Z RGB 32 GB,DDR4-3200,2 x 16GB,6.875,Black,8.75,14,219.99
G.Skill,Ripjaws V 32 GB,DDR4-3600,2 x 16GB,4.062,Black,10,18,129.99
Crucial,CT64G4YFQ426S 64 GB,DDR4-2666,1 x 64GB,10.155,Green / Black,14.254,19,649.95
Corsair,Vengeance RGB Pro 128 GB,DDR4-3600,4 x 32GB,4.609,Black,10,18,589.99
G.Skill,Ripjaws V 32 GB,DDR4-3200,1 x 32GB,3.437,Black,10,16,109.99
G.Skill,Ripjaws V 32 GB,DDR4-3600,2 x 16GB,3.750,Red / Black,10.556,19,119.99
ADATA,XPG SPECTRIX D41 16 GB,DDR4-3000,2 x 8GB,3.749,Black,10.667,16,59.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-3200,4 x 16GB,4.500,White,10,16,287.99
OLOy,MD4U0836180BHKDA 16 GB,DDR4-3600,2 x 8GB,3.562,Black,10,18,56.99
G.Skill,Trident Z Neo 256 GB,DDR4-3600,8 x 32GB,4.375,Silver / Black,10,18,1119.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-3600,2 x 32GB,4.984,Black,10,18,318.95
G.Skill,Aegis 32 GB,DDR4-3200,2 x 16GB,3.125,Red / Black,10,16,99.99
Crucial,Ballistix 32 GB,DDR4-3600,2 x 16GB,4.687,White,8.889,16,149.99
Corsair,Vengeance LPX 8 GB,DDR4-3200,1 x 8GB,4.999,Black / Yellow,10,16,39.99
Corsair,Vengeance LPX 32 GB,DDR4-3600,2 x 16GB,4.218,Black / Yellow,10,18,134.99
Kingston,HyperX Fury Black 16 GB,DDR3-1866,2 x 8GB,4.671,Black / Silver,10.718,10,74.73
G.Skill,Ripjaws V Series 32 GB,DDR4-3200,4 x 8GB,,Black,10,16,
G.Skill,Trident Z Neo 128 GB,DDR4-3600,4 x 32GB,,Black / Silver,8.889,16,
G.Skill,Trident Z RGB 64 GB,DDR4-3600,4 x 16GB,6.234,Black,10,18,399.00
